,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female,Resident Departures: By Sea,Resident Departures: By Air,Resident Departures: Age 12 Years and Under,Resident Departures: Age 13 to 19,Resident Departures: Age 20 to 29,Resident Departures: Age 30 to 39,Resident Departures: Age 40 to 49,Resident Departures: Age 50 to 59,Resident Departures: Age 60 and Over,Resident Departures: Asia,Resident Departures: Asia: Hong Kong,Resident Departures: Asia: China,Resident Departures: Asia: Japan,Resident Departures: Asia: South Korea,Resident Departures: Asia: Singapore,Resident Departures: Asia: Malaysia,Resident Departures: Asia: Thailand,Resident Departures: Asia: Philippines,Resident Departures: Asia: Indonesia,Resident Departures: Asia: Brunei,Resident Departures: Asia: Vietnam,Resident Departures: Asia: Macau,Resident Departures: Asia: Myanmar,Resident Departures: Asia: Cambodia,Resident Departures: Asia: Others,Resident Departures: America,Resident Departures: America: U.S.A.,Resident Departures: America: Canada,Resident Departures: America: Others,Resident Departures: Europe,Resident Departures: Europe: France,Resident Departures: Europe: Germany,Resident Departures: Europe: Italy,Resident Departures: Europe: Netherlands,Resident Departures: Europe: Switzerland,Resident Departures: Europe: United Kingdom,Resident Departures: Europe: Austria,Resident Departures: Europe: Others,Resident Departures: Oceania,Resident Departures: Oceania: Australia,Resident Departures: Oceania: New Zealand,Resident Departures: Oceania: Palau,Resident Departures: Oceania: Others,Resident Departures: Africa,Resident Departures: Others,(DC)Resident Departures: South Africa,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female
07/2010,987584,515799,471785,75690,911894,106601,92864,118227,198148,232007,153150,86587,902724,233849,245672,165949,36160,19005,36044,33198,16741,12294,0,32897,61573,1176,,8166,54084,46634,7438,12,17502,2270,3083,611,5548,118,4010,1861,1,12227,8836,21,3301,69,1,1046,,,,
08/2010,883581,478971,404610,70706,812875,75133,64179,120949,188479,209097,149912,75832,809514,214189,230310,132060,38729,16786,21616,33400,15747,16960,0,25259,56882,1124,,6452,49699,42147,7552,0,16122,1982,2775,421,4545,109,3834,2454,2,7694,5547,0,2146,1,286,266,,,,
09/2010,782978,428783,354195,56400,726578,20239,10273,128150,192555,168163,161980,101618,726845,182089,211806,117009,32058,13483,15372,42919,14268,14646,0,23724,51637,669,,7165,37396,30230,6946,220,10747,2571,3434,0,335,0,2052,2355,0,7586,5808,0,1768,10,1,403,,,,
10/2010,795114,448705,346409,60210,734904,20391,5786,99103,199955,180542,176968,112369,746365,192302,221683,120290,38939,13318,13724,36933,12584,13415,0,24025,51773,877,,6502,32082,27633,4439,10,9574,2427,3289,0,0,448,1194,2216,0,6954,5506,0,1448,0,0,139,,,,
11/2010,682970,394116,288854,40560,642410,16984,4343,83082,178177,162139,149642,88603,642149,155861,202693,97209,33968,11294,12795,31542,9126,10812,0,23351,47571,860,,5067,28867,26005,2853,9,6293,1241,2288,106,217,244,1033,1054,110,5494,4285,0,1209,0,0,167,,,,
12/2010,677232,389269,287963,41134,636098,21390,8124,97177,177606,157675,139867,75393,638458,165318,202103,89511,23710,10462,11500,32590,9300,9416,0,25792,50817,1624,,6315,27806,23893,3905,8,4781,1309,1212,0,325,0,1164,764,7,5934,4925,0,1008,1,0,253,,9415074,5222821,4192253
01/2011,690743,371161,319582,35240,655503,53078,31832,95365,171289,157784,115419,65976,628836,150640,167085,109762,24875,17419,16958,39009,13318,14838,215,25904,39451,1785,,7577,42462,36765,5691,6,8804,1614,2540,399,1339,30,1339,1443,100,10332,6935,440,2846,111,136,173,,,,
02/2011,804856,467019,337837,46582,758274,54094,29397,103523,205181,189080,150787,72794,746318,200974,236262,98987,24517,16275,16503,31637,14589,18613,439,29347,48772,1605,,7798,31627,28027,3590,10,18617,2241,2537,285,7432,309,3627,1888,298,8061,4924,1526,1611,0,2,231,,,,
03/2011,667160,380897,286263,35821,631339,18794,5071,82823,173432,153138,142686,91216,606326,156827,210319,47959,24661,12533,15729,31070,12888,15320,3,23816,45740,2087,,7376,32614,27417,4889,308,21929,2377,2590,798,8784,27,3919,3056,378,5729,3017,1273,1433,6,0,560,,,,
04/2011,752558,428433,324125,56175,696383,26447,8514,89820,188049,170499,162056,107173,690567,194703,233533,47144,31442,15639,16753,32118,13073,17564,56,26635,53402,1079,,7426,33641,27607,6022,12,20814,2211,2664,866,8282,413,3001,2875,502,7390,3866,1077,2438,9,0,146,,,,
05/2011,809015,454006,355009,61900,747115,25373,8322,93851,201872,179749,176439,123409,736192,186636,249428,82194,28357,16938,17090,39625,13523,19208,38,25577,50145,1085,,6348,41596,35272,6306,18,23542,2715,3496,977,8861,349,3530,3247,367,6729,3857,791,2062,19,45,911,,,,
06/2011,890332,478760,411572,67631,822701,44898,25630,124358,214319,191644,174373,115110,804014,201592,248982,102905,41389,18917,19895,43527,16265,21695,298,25655,55290,1535,,6069,49296,41296,7789,211,26447,3695,3517,1087,10071,28,3879,3763,407,9567,5272,1652,2639,4,0,1008,,,,
07/2011,1026829,535996,490833,79648,947181,106676,92021,119896,208640,242229,163408,93959,933756,222871,278164,137475,47357,27692,28833,45310,18874,22265,0,35950,59605,1694,,7666,53351,46144,7191,16,26865,3138,3719,1047,10421,0,4025,3937,578,12056,5788,2015,3989,264,1,800,,,,
08/2011,911458,488598,422860,66773,844685,72651,61876,122470,194157,214010,158687,87607,825270,199126,255751,118112,47256,22357,21657,37507,16927,17381,48,24639,55567,1044,,7898,51321,43923,7382,16,23825,2846,3194,928,9276,0,3751,3579,251,10385,5098,1669,3617,1,44,613,,,,
09/2011,823272,451478,371794,68828,754444,21997,9665,123283,204536,175049,173909,114833,745564,173906,247501,100627,37050,17458,15980,36215,16314,18709,17,25539,48903,998,,6347,40683,32749,7921,13,27469,3585,4165,672,9724,122,4152,4373,676,8739,4477,1480,2575,207,0,817,,,,
10/2011,844814,467140,377674,68045,776769,25372,7446,107741,215868,187520,182327,118540,778938,184965,261650,118433,43354,16110,14771,24062,16189,18390,195,25452,47524,939,,6904,37091,32218,4830,43,19162,3054,3144,1038,5875,0,2312,3528,211,8766,4902,1596,2246,22,2,855,,,,
11/2011,706108,405945,300163,40746,665362,16772,4372,86404,181430,162816,155465,98849,655117,140825,242208,90235,37245,13692,13938,10533,14435,15713,319,25666,42806,1214,,6288,31113,28237,2863,13,11792,2324,2459,518,2106,135,1350,2607,293,7270,3526,1219,2489,36,1,815,,,,
12/2011,656728,370945,285783,39132,617596,21098,8253,94499,177638,147927,132145,75168,611316,143695,215689,82561,35763,12778,11057,12022,12481,13130,0,24407,40428,1198,,6107,28464,25193,3259,12,9796,1537,1353,740,3067,1,1491,1605,2,6590,3227,1224,2134,5,7,555,,9583873,5300378,4283495
01/2012,901293,484118,417175,44485,856808,78319,52337,114687,211601,202690,154613,87046,805418,172687,258728,133945,43511,26579,21111,19794,21298,20955,819,37478,39986,1501,5877,1149,65163,58137,6939,87,20476,2105,3196,863,7178,3,4426,2421,284,8989,5287,765,2928,9,215,1032,,,,
02/2012,772495,427415,345080,41642,730853,39809,18993,108100,199457,171303,146781,88052,711348,162344,248837,90318,42984,22601,15799,18283,17322,15326,0,27787,40875,1242,5809,1821,35539,31839,3629,71,16617,1783,2249,69,6687,3,3848,1974,4,8120,4842,299,2979,0,123,748,,,,
03/2012,723643,402704,320939,41084,682559,20178,6828,90622,187399,159720,153081,105815,659089,140015,236894,94258,34886,16546,12641,20340,16900,14929,0,26232,38428,1248,4553,1219,37076,32463,4579,34,21458,1911,3228,394,8212,10,4488,3021,194,5751,3454,160,2134,3,6,263,,,,
04/2012,851486,470780,380706,59297,792189,26920,9368,95164,207371,184453,188772,139438,782368,165907,266709,143550,42203,18758,12576,20932,16967,16200,0,30294,41305,1385,5092,490,42379,36456,5508,415,19899,2042,2805,1122,7187,0,3621,3077,45,6326,3571,116,2639,0,342,172,,,,
05/2012,849354,466745,382609,63910,785444,25937,10921,95066,200633,183022,188084,145691,774744,162217,272775,132010,40460,16446,14543,25542,18407,16795,0,30057,39191,1231,4972,98,44586,39012,5426,148,22922,3279,3404,1463,7105,0,3140,4530,1,5752,2774,46,2911,21,1138,212,,,,
06/2012,908600,478652,429948,62777,845823,50789,36351,124010,202956,196488,175261,122745,817506,182643,268283,137292,48558,18825,16458,28293,19762,19619,116,27243,43831,1275,5081,227,54875,47638,7228,9,27534,3936,3846,1701,9429,0,3928,4694,0,8555,3722,85,4747,1,0,130,,,,
07/2012,1041365,543180,498185,75405,965960,103229,97024,120228,207209,245395,167818,100462,941943,199490,296306,166674,56027,28561,24899,28570,22693,21085,55,36362,54450,1659,4952,160,60592,53530,7045,17,27807,2938,3565,1798,11169,48,3969,4320,0,10824,5453,54,5314,3,0,199,,,,
08/2012,933988,492211,441777,64073,869915,78054,68231,127364,194440,212943,160172,92784,842583,185595,271159,141957,54680,22439,19567,26259,18904,16802,0,26120,52239,1247,5252,363,57535,49592,7937,6,25371,3032,3243,1448,10111,0,3942,3592,3,8342,4119,43,4180,0,1,156,,,,
09/2012,818593,438008,380585,59403,759190,22572,10978,124702,197019,170689,172501,120132,744064,157013,247490,124637,43997,17159,16325,28242,15469,16232,0,23935,47937,962,4617,49,43090,36420,6659,11,25303,3376,4026,1946,7813,0,3469,4622,51,5968,3442,24,2497,5,1,167,,,,
10/2012,912063,502309,409754,65170,846893,25708,7109,112419,226563,198234,201038,140992,843869,181475,292306,142486,47497,17959,14769,28707,17187,18961,3,27979,45955,2008,6553,24,40420,35328,5083,9,21317,2385,2882,1914,6569,0,3060,4503,4,6349,3764,14,2571,0,0,108,,,,
11/2012,773440,430279,343161,42372,731068,21165,5976,95391,196417,170771,167409,116311,731147,149827,250231,132920,38561,17478,11865,31289,14086,11537,34,23697,39890,2108,6064,1560,28255,25066,3175,14,6807,1824,2182,0,1047,0,109,1645,0,7102,4745,7,2350,0,0,129,,,,
12/2012,753440,410760,342680,40000,713440,28106,11437,114467,204301,161744,144770,88615,713518,161999,229337,120253,39365,18542,12617,30495,12390,10452,73,24327,42963,2514,6777,1414,27504,24087,3406,11,5249,1521,1645,0,746,0,2,1335,0,7088,4813,8,2262,5,0,81,,10239760,5547161,4692599
01/2013,753483,408333,345150,38818,714665,51130,35774,102839,180687,170371,131517,81165,704042,153216,206418,128322,44828,28592,15385,31174,15583,10597,2,23234,36624,2376,5998,1693,35115,30631,4468,16,5519,1859,2050,0,821,0,1,788,0,8764,6351,1,2406,6,3,40,,,,
02/2013,966575,517602,448973,47316,919259,78599,53652,124174,229620,213067,171138,96325,914067,200670,263527,166278,46443,34379,22338,43975,21573,17474,283,39702,45579,2889,7057,1900,34882,30534,4329,19,7905,2185,2681,0,2085,0,0,954,0,9696,7073,0,2623,0,1,24,,,,
03/2013,814558,436123,378435,44172,770386,26263,8564,111976,212565,170723,164876,119591,770918,149360,244035,157345,41501,20099,14404,39654,15108,13390,2107,25335,38616,2296,5748,1920,28489,24015,4468,6,7939,2130,3240,70,1159,0,0,1340,0,7182,5490,0,1682,10,0,30,,,,
04/2013,897886,478776,419110,58006,839880,32714,12470,111006,224919,186413,187487,142877,850233,180319,246156,203211,34620,22459,15841,43508,14129,13472,0,27676,40397,1901,5030,1514,32382,27033,5341,8,8884,1905,3663,0,1604,0,0,1712,0,6321,4905,0,1407,9,0,66,,,,
05/2013,853288,461844,391444,63003,790285,28540,12664,103701,211811,180020,180166,136386,799738,146183,230912,207335,39360,20525,16178,42960,10237,12612,3,28182,30785,1774,4674,8018,36163,30061,6091,11,10851,3171,3607,0,1655,0,0,2409,9,6518,4684,0,1823,11,0,18,,,,
06/2013,1002864,519846,483018,67374,935490,61575,44265,136771,230401,211121,184440,134291,934271,174775,247929,246734,48097,26069,23107,55103,6341,16063,1,33448,39409,1887,3724,11584,46373,39258,7109,6,13684,4052,4666,0,2467,0,0,2498,1,8528,6039,0,2457,32,0,8,,,,
07/2013,1089257,561034,528223,67439,1021818,106904,103968,130922,213986,251398,173262,108817,1017208,190939,284747,254001,46547,36484,28428,46235,8279,16650,3,40185,46145,2101,3537,12927,49785,43053,6723,9,12342,3021,3894,0,3170,0,0,2255,2,9914,6502,5,3397,10,0,8,,,,
08/2013,1022387,534980,487407,64442,957945,83718,78264,143042,208838,228905,174607,105013,955905,184125,283375,213804,49805,30649,23717,46351,6702,14313,6,31184,52595,1576,3857,13846,46789,39241,7537,11,11303,2653,4153,0,2495,0,0,2002,0,8369,5287,0,3074,8,8,13,,,,
09/2013,977616,507668,469948,62444,915172,33804,14449,155497,241704,191072,194266,146824,914652,166244,271078,217611,43935,24944,20911,48465,6796,15592,5,29137,47569,1770,4110,16485,39462,32700,6755,7,15228,3738,4888,0,3066,0,0,3531,5,8241,5562,0,2670,9,0,33,,,,
10/2013,1007052,535582,471470,62900,944152,31790,9120,129946,252626,209200,214506,159864,952631,183024,300871,217798,45782,20723,17688,43406,8248,13047,1,27980,48345,1565,4991,19162,33619,28460,5136,23,12034,3282,4331,0,1371,0,0,3050,0,8706,6481,0,2213,12,0,62,,,,
11/2013,862989,466375,396614,43379,819610,24668,7540,106653,216756,185111,184703,137558,815172,151802,258093,180498,38501,17207,15664,36044,8684,12013,0,27676,44472,1884,5881,16753,32246,28774,3464,8,8089,2548,2368,0,1358,0,0,1814,1,7412,5776,0,1625,11,0,70,,,,
12/2013,804953,434994,369959,39197,765756,28127,11783,119079,213880,171334,157897,102853,760100,158075,235186,153070,39109,15458,13258,30741,7681,11155,0,28218,44165,1845,6731,15408,31290,27614,3665,11,6022,2456,1581,0,851,0,0,1134,0,7469,5674,0,1787,8,2,70,,11052908,5863157,5189751
01/2014,854554,433216,423108,37337,818987,71527,51752,119194,198284,183734,139649,92184,791492,151349,198382,210834,45400,27112,18659,30667,11344,15077,282,33283,38222,2445,6830,1597,43393,37824,5565,1,8458,3074,2672,0,1503,0,0,1207,2,11086,8769,0,2300,16,0,125,,,,
02/2014,957463,530780,428893,44244,915429,61136,35066,136239,241265,207723,174730,103514,906483,189882,279792,201225,46465,27608,18734,25924,10193,15747,9,33347,43567,1797,7384,4795,31186,27409,3766,5,8002,2812,2660,0,1352,0,0,1173,5,11642,9194,0,2448,0,0,150,,,,
03/2014,873540,459740,413972,39746,833966,28429,9492,121645,226572,179337,174221,134016,820385,148230,241546,219857,46188,19381,15207,26668,9294,13628,8,27741,38472,2010,5182,6983,32740,28289,4440,6,9160,3058,3319,0,1329,0,0,1453,0,9544,6895,0,2646,4,0,1711,,,,
04/2014,985216,516755,468461,58357,926859,37812,13820,118023,238932,201200,207876,167553,930624,158636,275713,270335,50408,22572,13883,32202,8999,13025,13339,30076,39267,1592,5602,8314,36224,30914,5286,24,9399,3290,2915,0,1430,0,0,1759,5,8906,6643,0,2249,14,4,59,,,,
05/2014,1047248,540565,506683,76319,970929,41832,19365,134474,257690,208788,210092,175007,982395,170816,282707,294242,57585,21674,14478,34603,10440,13800,0,26930,39347,1536,5108,9129,42502,36388,6110,4,12587,3881,4515,0,1575,0,0,2616,0,9552,6531,0,3007,14,1,211,,,,
06/2014,1090022,561823,528199,73971,1016051,67091,42041,153724,241521,222856,203289,159500,1014064,190489,302067,271059,58308,21770,17145,37598,11532,16731,2,27019,44996,1632,5392,8324,50767,42758,8009,0,14405,4270,4728,0,2478,0,0,2914,15,10289,6416,0,3866,7,2,495,,,,
07/2014,1163193,591466,571727,75327,1087866,116687,114707,137765,223113,265946,184294,120681,1085808,198986,312254,297662,59341,34097,23399,34967,14763,16122,0,31588,47045,2056,5612,7916,52984,45585,7399,0,13380,3076,4350,0,3181,0,0,2329,444,10863,7304,0,3521,38,0,158,,,,
08/2014,1063126,551742,511384,68161,994965,86561,83799,151434,213769,235647,179744,112172,989696,185035,296364,247161,58828,29337,21009,38840,13620,15447,0,25059,44455,1829,6100,6612,49687,42081,7605,1,13390,2791,4968,0,2582,0,0,2459,590,10277,6816,0,3461,0,0,76,,,,
09/2014,965466,506516,458950,62735,902731,30943,15218,154724,237067,191236,192530,143748,897568,160392,269049,231246,51791,23499,13822,42053,11551,14327,1,23425,40351,1657,5093,9311,42727,34960,7766,1,15939,3674,5433,0,2865,0,0,3744,223,9153,6711,0,2424,18,0,79,,,,
10/2014,1049968,549838,500130,69289,980679,36599,11487,138552,265309,214566,217131,166324,990199,173328,302986,270304,56795,22556,16021,39632,11677,12921,0,26877,42147,2071,5439,7445,38433,32289,6144,0,12914,3718,3791,0,1989,0,0,3410,6,8346,6505,0,1828,13,0,76,,,,
11/2014,886182,467004,419178,40190,845992,27408,8456,114167,228193,189073,183567,135318,833452,137070,248285,241429,47491,18194,13884,34094,9759,12093,0,23810,34723,1983,5219,5418,36569,32983,3586,0,9096,2950,3015,0,1442,0,0,1688,1,7002,5575,0,1425,2,0,63,,,,
12/2014,908657,481265,427392,44002,864655,35232,13896,135326,235786,188979,177392,122046,853498,153916,258093,216492,48094,16125,12661,41885,10411,11383,2,29952,40596,2201,6238,5449,38267,33658,4609,0,6947,2532,1885,0,1023,0,0,1504,3,9682,8386,0,1296,0,6,257,,11844635,6188931,5655704
01/2015,920674,486559,434115,45384,875290,56110,33322,139513,222044,197862,161157,110666,857718,150728,240112,225116,48024,25955,15457,47129,11112,11863,7,28241,39164,2002,6267,6541,42415,37765,4650,0,8166,2764,2862,0,1335,0,0,1204,1,12100,10922,0,1153,25,4,271,,,,
02/2015,1015518,515055,500463,39605,975913,92829,71986,135445,231374,220060,163215,100609,950739,150888,230305,283635,53315,32693,19014,51863,16525,17148,261,39976,38721,2516,6506,7373,41876,37330,4546,0,10271,3061,3668,0,2302,0,0,1239,1,12494,10742,0,1746,6,0,138,,,,
03/2015,1075244,564241,511003,50174,1025070,42280,13586,159694,272429,215859,209434,161962,1010951,167656,297043,285122,51365,22161,14421,53355,14804,16066,1,31245,40273,1658,6448,9333,43303,37801,5502,0,11384,3283,4642,0,1581,0,0,1878,0,9588,8088,0,1487,13,0,18,,,,
04/2015,1139384,579850,559534,66193,1073191,47294,16018,142175,276027,224876,231769,201225,1076810,164119,295645,346365,57222,23708,14551,51242,14838,14066,2,32111,44404,1516,4931,12090,42180,36298,5882,0,11913,3670,3790,0,2014,0,0,2437,2,8265,7339,0,899,27,0,216,,,,
05/2015,1153079,592390,560689,83237,1069842,45956,23264,147204,269502,229084,232866,205203,1083466,163570,297885,352263,53704,21348,15814,53677,14719,14530,2,33166,41120,1199,4706,15763,46860,40499,6347,14,14621,4073,5179,0,2442,0,0,2913,14,8112,7071,0,1033,8,0,20,,,,
06/2015,1173516,597209,576307,75731,1097785,74070,43188,159125,269837,239359,213991,173946,1090220,183219,294294,356669,14896,26248,18494,64864,16136,17212,2,33506,43137,1224,4610,15709,55634,47232,8398,4,19020,4223,5901,0,3961,0,0,4111,824,8565,7483,0,1078,4,0,77,,,,
07/2015,1261540,636158,625382,72174,1189366,127757,126216,159616,236161,285136,195854,130800,1175786,191439,315481,374662,10899,39700,24913,65038,19031,18707,0,44931,48597,1981,5866,14541,56634,49868,6766,0,19376,3917,5563,13,5086,0,0,3633,1164,9623,8225,0,1362,36,7,114,,,,
08/2015,1157371,594191,563180,66223,1091148,98956,92110,164098,228958,254775,193344,125130,1080572,185245,299750,326325,25162,35035,22513,51243,16199,17259,2,34010,46988,1545,5980,13316,51541,44802,6739,0,16535,3016,5442,0,3446,0,0,3715,916,8647,7465,0,1164,18,0,76,,,,
09/2015,1072009,541680,530329,59668,1012341,39955,17922,174148,257634,205191,209155,168004,998619,156391,271600,313415,45069,26262,16282,43969,14529,14407,0,31047,43456,1293,4995,15904,46318,38394,7924,0,17993,4512,5216,1,3730,0,0,3918,616,8794,7788,0,995,11,0,285,,,,
10/2015,1181248,609246,572002,68263,1112985,45060,12732,158487,295936,234665,240616,193752,1115273,182691,318599,351495,47012,25819,16309,40896,16192,12820,1,33694,47602,1801,5605,14737,41081,35795,5286,0,14582,3752,4775,0,2589,0,0,3464,2,10166,8828,0,1330,8,0,146,,,,
11/2015,1048893,545330,503563,61697,987196,33471,9413,135662,256488,215621,218621,179617,986063,153177,286248,307177,46032,20931,12703,38467,13176,11487,4,33078,46936,1472,5126,10049,41537,36969,4564,4,10084,2519,3449,0,1461,0,0,2651,4,11152,9952,3,1197,0,6,51,,,,
12/2015,984500,506046,478454,61365,923135,41935,16114,154135,256802,199383,184168,131963,927071,159030,256958,275635,47400,18656,11160,37780,12830,10913,3,34008,46746,1792,5553,8607,38888,34403,4475,10,7584,2395,2556,0,959,0,0,1672,2,10884,9903,0,977,4,13,60,,13182976,6767955,6415021
01/2016,1085927,548713,537214,47976,1037951,86818,56078,163120,241785,237454,173537,127135,1009041,160042,241113,331876,56236,31401,16877,43681,15620,12438,2,34628,46638,2568,5552,10369,53233,47275,5958,0,8849,2851,3163,0,1233,0,0,1595,7,14744,13186,180,1378,0,3,57,,,,
02/2016,1240755,635717,605038,55607,1185148,98554,61099,180422,283833,258648,214288,143911,1162395,180189,298798,359908,57437,36563,20713,53164,18711,16789,257,45423,52543,2613,6564,12723,50607,44360,6247,0,11853,3248,3567,0,2732,0,0,2301,5,15316,13557,0,1301,458,40,544,,,,
03/2016,1096211,553735,542476,57803,1038408,42755,12841,168533,268494,217805,208766,177017,1029041,143266,270766,341162,56440,23333,16175,44816,16239,13811,2,35528,42649,1929,5766,15582,41910,35775,6135,0,11730,3451,4033,0,1642,0,0,2360,1,12835,11565,0,1114,14,0,57525,,,,
04/2016,1237213,621477,615736,67206,1170007,56227,18935,164678,285066,246121,245240,220946,1171951,170906,306441,394630,67144,26393,18451,44058,18676,13628,3,37059,51557,1639,4981,16385,43426,36653,6773,0,10497,2858,3679,0,1780,0,0,2175,5,11238,9963,0,1247,28,16,85,,,,
05/2016,1230556,622176,608380,93629,1136927,53843,27162,158460,275577,245603,243250,226661,1158372,161537,315102,391554,63856,22888,17878,43192,18826,14617,111,35776,45974,2025,4920,20116,48882,41635,7247,0,12126,3575,4054,0,1846,0,0,2645,6,10192,9132,0,1046,14,0,984,,,,
06/2016,1363849,665680,698169,80071,1283778,96383,54236,206346,300662,273042,235965,197215,1275594,187887,321257,410889,85261,30573,21683,56212,23112,15736,2,37861,54522,1534,5087,23978,60223,49742,10481,0,17200,4303,5922,48,3130,46,48,3061,642,10766,9127,4,1618,17,11,55,,,,
07/2016,1397282,687606,709676,78536,1318746,155488,142598,169387,250140,320773,210228,148668,1292011,165958,346297,409644,79681,35130,29871,51037,25752,17448,18,51465,55577,2254,6052,15827,58708,49953,8755,0,31908,4294,7257,1720,3747,1105,3249,3901,6635,14423,12745,89,1483,106,186,46,,,,
08/2016,1260945,639004,621941,78149,1182796,109702,97460,180671,237964,280860,211087,143201,1161500,158045,331005,345359,76720,29773,27957,48673,22032,14408,9,36267,51251,1805,5805,12391,55264,47253,7682,329,30293,3205,7522,1550,3385,1216,2624,4332,6459,13463,11670,141,1531,121,406,19,,,,
09/2016,1247991,614878,633113,69102,1178889,54416,21241,208018,294224,236079,235353,198660,1130100,146963,312406,354621,70914,25307,23134,47586,21798,15711,43,37351,50411,1905,5473,16477,59379,48205,10566,608,42615,5117,9379,3219,3908,1754,4314,5517,9407,14152,12519,154,1342,137,1138,607,,,,
10/2016,1241307,625608,615699,69747,1171560,50016,13474,169280,294563,249381,249416,215177,1139336,147329,345004,359875,71622,21616,18877,34905,18409,15094,41,36859,48577,2181,5421,13526,53380,41978,10721,681,32887,4826,7012,2590,2861,766,2402,6036,6394,13103,12054,305,630,114,1105,1496,,,,
11/2016,1113547,570588,542959,58328,1055219,38680,9364,144273,260077,230669,231742,198742,1020381,133372,312770,310510,61754,18933,17299,31481,16735,13670,21,37400,46799,2377,5296,11964,51260,43158,7401,701,25904,4819,6676,1992,2337,341,1641,4648,3450,14167,12505,1008,559,95,1421,414,,,,
12/2016,1073340,541642,531698,58610,1014730,48666,18158,170753,270221,219247,197111,149184,989345,147153,284518,285212,61355,18005,16383,33982,15891,12388,31,40327,52352,2305,6035,13408,46919,41112,5439,368,22225,3914,4190,1935,4250,301,2043,3120,2472,13327,11478,923,812,114,880,644,,14588923,7326824,7262099
01/2017,1150837,562585,588252,51045,1099792,104858,71042,166089,241244,246554,183838,137212,1039805,130856,244084,347036,66289,31412,23153,40361,22703,17317,262,49468,43339,2910,5623,5183,62612,54682,7436,494,29208,4900,5885,2796,4844,481,2646,3258,4398,16437,14705,644,758,330,1865,910,,,,
02/2017,1284579,660966,623613,62770,1221809,91220,48050,199967,297346,272969,218720,156307,1187260,172217,328059,349758,73789,30848,24393,44692,21308,16385,37,47962,51969,2588,7061,5644,47867,41645,5566,656,29732,5003,6195,3652,4786,376,2070,3497,4153,17415,15720,777,828,90,1819,486,,,,
03/2017,1212728,603400,609328,63518,1149210,53151,14005,177362,285181,243821,232273,206935,1108668,140205,306038,351362,72580,22943,22056,42582,21126,15773,83,42574,45014,2148,6329,5078,49773,41800,7219,754,38337,6263,7869,3857,6136,637,2559,4534,6482,13759,12271,619,707,162,1740,451,,,,
04/2017,1319531,655478,664053,74131,1245400,66243,23251,165559,287869,262838,262405,251366,1217543,142568,341117,419923,75268,24912,21061,40780,19949,14989,71,45527,48988,1913,6368,4168,51335,43398,7257,680,35048,5129,6374,3825,5889,542,2647,4572,6070,13707,12603,268,731,105,1181,717,,,,
05/2017,1371312,677119,694193,79181,1292131,73314,32083,183516,309199,272039,258048,243113,1237914,151960,348528,412299,70512,26225,23888,47416,21634,16947,19,44978,49950,1951,5926,4036,64305,53135,10460,710,53888,6935,10223,5244,5685,2155,5037,6189,12420,13258,12255,140,763,100,1031,916,,,,
06/2017,1410713,691849,718864,106631,1304082,95966,54532,204540,282948,285165,254041,233521,1272308,150348,353085,441965,76659,26486,22978,51129,18837,15895,79,43351,49553,1906,6200,3287,68458,54916,12949,593,53395,6987,9732,4535,6112,2725,5718,5313,12273,14924,13686,110,1002,126,807,821,,,,
07/2017,1480440,728120,752320,92951,1387489,164004,149572,178348,250670,343320,226279,168247,1355325,160617,362466,448171,79080,37854,34797,52442,22920,17267,23,56581,56969,2154,7410,4635,64369,52697,10993,679,44015,4980,8120,3747,6016,1567,5244,4811,9530,15249,13869,143,1088,149,1310,172,,,,
08/2017,1361761,681495,680266,85535,1276226,125493,106109,193996,244035,301857,225483,164788,1241730,154977,347289,388334,80131,32134,30830,51157,19051,15513,51,47936,50971,1858,7872,4366,61484,50666,10193,625,40719,4432,8655,2995,5397,1972,3719,4555,8994,16511,15246,162,982,121,1197,120,,,,
