,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female,Resident Departures: By Sea,Resident Departures: By Air,Resident Departures: Age 12 Years and Under,Resident Departures: Age 13 to 19,Resident Departures: Age 20 to 29,Resident Departures: Age 30 to 39,Resident Departures: Age 40 to 49,Resident Departures: Age 50 to 59,Resident Departures: Age 60 and Over,Resident Departures: Asia,Resident Departures: Asia: Hong Kong,Resident Departures: Asia: China,Resident Departures: Asia: Japan,Resident Departures: Asia: South Korea,Resident Departures: Asia: Singapore,Resident Departures: Asia: Malaysia,Resident Departures: Asia: Thailand,Resident Departures: Asia: Philippines,Resident Departures: Asia: Indonesia,Resident Departures: Asia: Brunei,Resident Departures: Asia: Vietnam,Resident Departures: Asia: Macau,Resident Departures: Asia: Myanmar,Resident Departures: Asia: Cambodia,Resident Departures: Asia: Others,Resident Departures: America,Resident Departures: America: U.S.A.,Resident Departures: America: Canada,Resident Departures: America: Others,Resident Departures: Europe,Resident Departures: Europe: France,Resident Departures: Europe: Germany,Resident Departures: Europe: Italy,Resident Departures: Europe: Netherlands,Resident Departures: Europe: Switzerland,Resident Departures: Europe: United Kingdom,Resident Departures: Europe: Austria,Resident Departures: Europe: Others,Resident Departures: Oceania,Resident Departures: Oceania: Australia,Resident Departures: Oceania: New Zealand,Resident Departures: Oceania: Palau,Resident Departures: Oceania: Others,Resident Departures: Africa,Resident Departures: Others,(DC)Resident Departures: South Africa,Resident Departures: Total,Resident Departures: Male,Resident Departures: Female
Last Update Time,21/09/2017,21/09/2017,21/09/2017,16/10/2017,16/10/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,21/09/2017,11/03/2011,19/01/2017,19/01/2017,19/01/2017
Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,920808.5982905983,489567.641025641,430687.47008547006,57764.64957264957,863079.4358974359,51337.13675213675,31809.931623931625,124583.17948717948,215012.62393162394,200461.32478632478,175378.66666666666,121672.24786324786,841902.6666666666,179435.10256410256,237760.36363636365,197912.59829059828,44465.52136752137,20387.136752136754,17206.846153846152,34905.555555555555,13612.871794871795,15223.606837606838,192.22222222222223,29942.666666666668,51842.1282051282,1552.982905982906,5624.558823529412,7780.393162393162,44382.40170940171,38306.606837606836,5990.290598290599,85.38461538461539,18153.777777777777,2681.965811965812,3793.008547008547,845.3675213675214,4737.666666666667,163.3760683760684,2130.5641025641025,2849.3846153846152,950.3589743589744,9407.76923076923,7260.495726495727,306.8376068376068,1807.2649572649573,31.957264957264957,190.2991452991453,7257.393162393162,,10724029.666666666,5742351.444444444,4981678.222222222
Variance,47844747595.89759,8589763665.145886,16229344067.234009,237616171.2295904,43440043771.489395,1053485479.4638959,1065560219.4780433,1119228583.5795755,1722898773.9608011,1753494688.9798102,1319265633.0517242,2108522210.7742414,46266416042.34484,940629581.6618035,6333297517.646373,12294780988.035507,238642305.19997078,55691963.1018273,27727100.217506617,138046074.66283533,22737257.974801056,6854144.809608018,1555340.2950191603,59067692.27586202,158976468.8541114,308537.46522251685,752642.1606672521,26427263.585470077,96460525.27689362,68885231.82684937,3743885.1562039517,39079.0835543767,86958558.70881225,2078561.5677866184,3083967.3878573533,1149840.0792808724,9275766.517241383,205220.80562923537,3437706.2480106093,1302593.5145888587,6261584.007957558,7532754.006631301,8946146.821102269,299989.0682287062,891762.2136752144,4582.196433834362,188053.3838785739,318912008.2406425,,4670000617997.251,792869501201.0277,1615891524732.4443
Standard Deviation,218734.42252169087,92680.97790348291,127394.4428428258,15414.803639021497,208422.75252833936,32457.44104922469,32642.91989816541,33454.873838942745,41507.81581775656,41874.75001692321,36321.696450630225,45918.64774548834,215096.2948131484,30669.68505971008,79582.0175519971,110881.83344459771,15448.051825391149,7462.7048113822175,5265.6528766627425,11749.30102869253,4768.360092820283,2618.042171090454,1247.1328297415478,7685.55087653852,12608.587107765541,555.4614885142955,867.5495148216338,5140.745430914672,9821.431936173747,8299.712755683136,1934.912183072904,197.68430275157587,9325.157302094814,1441.721737294204,1756.122828237636,1072.3059634641936,3045.6143086808256,453.0130303084398,1854.1052418917889,1141.3121898012212,2502.315729071285,2744.58630883259,2991.0110031730524,547.7125781180365,944.3316227232965,67.69192295860978,433.6512237715626,17858.107633247215,,2161018.4214849374,890432.1991039114,1271177.2200336365
Skewness,0.5322936771926368,0.5014451464147867,0.5339715017232216,0.25454697555610095,0.5138048144838543,1.1218253239332097,1.5947526441994717,0.5969578627495633,0.3756432960734357,0.8659071892983985,0.4308100309396023,0.7843110568946111,0.35257645527857007,0.995361510781506,-1.1373808544534254,0.6457130193354559,0.5778458496379453,0.5260499215313463,1.1099515935426263,0.08178669493025206,0.3261850851315727,0.2544722147595634,10.305200426001477,1.116341636116265,1.4784730919692626,0.11929691238370084,0.10809028498044998,1.0308022240467207,0.28064060948514175,0.2557605700966382,0.7920558971741719,2.4196488770345006,1.4141134206521622,0.21017655594987386,1.5984084306181434,1.797541469023607,0.3346223355781438,3.728015434883655,0.007551856380729545,0.47694645025853005,3.109729336618684,0.8414840706290704,0.9658136760553604,1.8772556382104677,1.1294887262589284,3.680082758503628,2.381906476962076,2.5047831291091227,NaN,0.6606125292786558,0.6341351424557309,0.6754434764362031
Kurtosis,-0.5716892958511006,-0.5532300511778807,-0.6023229460317436,-0.1266562477622446,-0.6134975918092125,0.891138348093337,2.0945565838869795,-0.47674299731813585,-0.7355026416563191,0.5324457194267955,-0.54610449756867,0.05748926454164538,-0.7759319489599061,0.6880574193055247,0.9997104934317389,-0.9445079486511334,0.0004615359843200828,-0.44915799619457353,1.5751721839487045,-0.3762334158613081,-0.7806622236520604,0.01129062025135763,109.07972595552249,0.9859489670841945,2.5127164549209837,-0.4941670259149076,0.2298427600610049,1.3700397022057258,-0.6950557441665941,-0.7638465257916183,1.0135952122796548,4.405435265808346,2.920739763160685,0.6409686509404446,2.7492556239529016,3.5523640363816877,-1.101361943143788,14.61381862560631,-1.5700406786724186,0.03005581364151233,9.258430017768735,0.09627282196739806,0.1911230867007343,2.692661582120876,1.2986022032698132,16.71089777013022,4.77650212616016,5.208230952029235,,-0.4401144508522359,-0.4053514391449706,-0.45981905904946974
Coefficient Variation,0.23754602523016452,0.18931189510261925,0.2957932414833065,0.2668553129476631,0.24148733460625205,0.6322409682864472,1.0261864214007648,0.268534436002137,0.19304827343977923,0.2088919149943673,0.2071044166373156,0.377396230873437,0.255488316321382,0.17092355186607616,0.33471524157706845,0.5602565698308306,0.3474164105196967,0.3660496764264879,0.3060208029747357,0.33660260785686064,0.3502831852582794,0.17197252917903205,6.487974258771057,0.2566755647416792,0.24321121729177592,0.3576739231155514,0.15424312235697205,0.6607308041658703,0.2212911324736451,0.2166653076548414,0.32300806635742424,2.315221563757195,0.513675853932168,0.537561564305497,0.4629894202644619,1.268449445194632,0.6428511170085468,2.772823674919563,0.8702414725097454,0.40054690533491377,2.6330216229705408,0.2917361429164412,0.41195685747158506,1.7850242796604534,0.5225197439518832,2.118201387043954,2.278787028128131,2.4606779918973567,,0.20151179068461525,0.15506403739279634,0.2551704793704221
Min,558945,330912,228033,24973,514430,14056,3513,72910,139311,132917,110243,54192,463800,130856,21949,47144,10899,7762,8766,10242,6341,9416,0,17761,30785,383,3537,24,27504,23893,2784,0,4781,0,1212,0,0,0,0,764,0,5332,2774,0,536,0,0,8,NaN,8142946,4628499,3514447
Max,1480440,728120,752320,106631,1387489,164004,149572,208018,309199,343320,262405,251366,1355325,274405,362466,448171,85261,39700,36044,65038,25752,22265,13339,56581,99568,2910,7872,26901,68458,58137,12949,754,53888,6987,10223,5244,11169,2725,5718,6189,12420,17415,15720,2394,5314,458,1865,79701,NaN,14588923,7326824,7262099
Median,883581,470780,411572,59297,822701,42280,16018,119079,208640,191236,172501,114562,809514,173906,249205,143550,42984,18917,16175,33982,13318,15320,3,27676,48772,1546,5603.5,6541,42727,37330,5749,8,17383,2571,3349,672,4545,0,2624,2790,4,8739,6502,0,1527,8,0,212,NaN,10239760,5547161,4692599
No. of Obs,117,117,117,117,117,117,117,117,117,117,117,117,117,117,110,117,117,117,117,117,117,117,117,117,117,117,68,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,,9,9,9
12/2007,626438,368016,258422,25420,601018,20718,7897,93759,166322,154746,123411,59585,540512,223722,,87599,40203,11883,11107,23431,8792,11071,95,24727,86444,1546,,9888,40764,36463,4301,0,12525,0,1233,945,5532,0,3059,1755,1,6910,4249,911,1750,0,0,25727,,,,
01/2008,662847,371407,291440,24973,637874,50302,28006,96699,166302,156078,110243,55217,548240,216776,,104753,42596,16645,13570,26653,9111,15714,88,22308,69871,1497,,8658,60422,54700,5722,0,17383,0,2390,1264,8119,0,3385,2225,0,11386,6824,2394,2168,0,0,25416,,,,
02/2008,776687,452795,323892,33406,743281,56501,28361,106882,199282,188219,139084,58358,665104,259884,,110058,43280,17901,16044,32886,12293,20411,365,28883,95056,1142,,26901,46218,41918,4300,0,19688,335,3783,1175,8171,0,3716,2501,7,12020,7241,2026,2753,0,0,33657,,,,
03/2008,663305,382716,280589,28177,635128,19568,5516,87617,169605,158236,139321,83442,559507,228301,,92266,35240,12955,12951,31086,8301,16776,0,25733,85057,1312,,9529,48615,43628,4987,0,18875,0,3367,1123,8087,0,3190,3108,0,8091,5329,1023,1739,0,38,28179,,,,
04/2008,769832,435492,334340,40308,729524,23585,6869,89703,184609,178298,170740,116028,647556,258031,,129430,37234,12951,12674,33977,8658,15493,0,26861,99568,1437,,11242,52624,46065,6559,0,20119,0,2784,1284,9391,0,3666,2994,0,8495,5124,1401,1970,0,0,41038,,,,
05/2008,733000,419625,313375,40469,692531,22790,7506,93866,184223,167668,156876,100071,611833,255719,,124440,27733,12414,13087,33896,8649,16737,1,28226,85157,536,,5238,50868,45119,5749,0,21652,0,3378,1355,9622,0,3308,3988,1,7157,5073,1362,722,0,0,41490,,,,
06/2008,726563,407982,318581,43068,683495,43157,21933,107297,174279,166466,136005,77426,598194,251685,,119692,25349,13426,16055,33497,10142,17132,150,25107,78382,383,,7194,56485,49530,6955,0,21257,0,2581,1764,11033,0,2636,3243,0,6830,5265,650,915,0,0,43797,,,,
07/2008,838607,456946,381661,63962,774645,86565,65718,104344,181534,202119,130618,67709,684286,274405,21949,143940,31254,19205,17081,37572,12942,17045,168,26275,77167,780,,4503,59041,52247,6794,0,22311,0,3322,1288,10197,0,4155,3323,26,8017,5614,1131,1272,0,0,64952,,,,
08/2008,761432,422436,338996,72776,688656,66759,48192,107514,169658,181682,126325,61302,604706,250006,27964,110875,24702,15155,16624,32195,11068,14528,0,21563,73604,745,,5677,58305,50293,8012,0,18850,0,3349,954,8215,169,3599,2564,0,6420,4310,745,1365,0,0,73151,,,,
09/2008,657988,379273,278715,62660,595328,15641,6746,106583,157667,149046,137597,84708,522627,220795,25663,93112,19618,12156,11200,25035,8940,14874,63,19886,65419,460,,5406,45345,39703,5642,0,22020,0,4457,1286,9405,0,3691,3180,1,5332,4796,0,536,0,2,62662,,,,
10/2008,732191,424988,307203,79698,652493,20043,5412,97773,184786,170865,158108,95204,590938,253255,26310,117002,25598,12615,10532,20084,9594,14596,306,19975,75957,725,,4389,37194,33123,4071,0,17834,107,3610,1133,6740,0,2825,3419,0,6524,5529,0,967,28,0,79701,,,,
11/2008,583775,350865,232910,54483,529292,14056,3513,75409,149181,142262,127706,71648,475881,199105,22575,91480,21811,11144,8766,15874,7422,11041,63,19966,61787,712,,4135,33880,30936,2944,0,13685,0,3203,1036,4647,0,2659,2140,0,5833,5213,0,620,0,0,54496,,,,
12/2008,558945,330912,228033,44515,514430,17777,7319,88117,145042,132917,113581,54192,463800,183208,43595,72799,28707,10912,9066,10242,7035,11770,29,20480,59568,879,,5510,31986,28328,3658,0,11349,0,1981,994,4694,0,2284,1395,1,7116,6225,0,891,0,0,44694,,8465172,4835437,3629735
01/2009,674519,362038,312481,46549,627970,59448,36977,97304,159891,150541,113963,56395,548279,175264,62464,105882,38172,16836,14033,21385,12223,16316,76,24132,53111,951,,7434,49814,43621,6193,0,18959,1347,3228,821,7175,308,3985,2094,1,10426,9534,1,891,0,0,47041,,,,
02/2009,618982,375571,243411,47002,571980,35420,14997,78131,155699,153252,123529,57954,519826,201180,77591,64257,31002,11225,9251,14545,7254,10851,0,22003,64553,708,,5406,28702,25675,3027,0,13834,1519,2534,584,5084,0,2714,1399,0,9556,8518,0,1008,30,0,47064,,,,
03/2009,620797,356906,263891,44736,576061,18012,4702,73742,149589,144256,140156,90340,513741,177558,70080,80235,27854,10324,9760,20219,6463,13160,0,22079,69527,861,,5621,32802,27906,4896,0,20985,2223,3349,1233,7413,0,3760,3007,0,8373,7095,0,1278,0,0,44896,,,,
04/2009,695011,397931,297080,54426,640585,21484,6137,72910,157316,160280,164796,112088,624813,209572,118464,96453,41274,10352,10421,22082,6420,12429,1,22118,70257,648,,4322,34295,29285,5006,4,21831,2182,2411,920,8386,0,4514,3418,0,11300,10611,0,689,0,0,2772,,,,
05/2009,635635,362594,273041,49922,585713,21897,7227,82335,158740,143547,137742,84147,569612,188605,116050,80382,34115,10351,11674,21558,8634,14580,0,20953,55422,1223,,6065,35236,29945,5280,11,20917,2488,2682,837,7176,0,4702,3032,0,9173,8299,0,874,0,2,695,,,,
06/2009,591187,347096,244091,57774,533413,28182,14021,79632,139311,142644,122513,64884,526410,171663,113513,75108,27795,11766,12101,17514,7657,13460,0,18795,52098,940,,4000,38363,32989,5356,18,18806,2054,2713,895,6052,0,4300,2790,2,7582,6521,0,1061,0,0,26,,,,
07/2009,794198,433548,360650,75329,718869,76494,60411,93990,166865,192051,133733,70654,718207,225279,141198,129299,35420,16217,20322,21334,10111,17403,2,26017,68932,898,,5775,42363,35892,6448,23,23725,2206,2586,891,9173,0,5251,3617,1,9594,8474,0,1112,8,0,309,,,,
08/2009,817785,442678,375107,70034,747751,71755,54427,111993,177645,191382,139096,71487,736121,236981,134944,130359,40131,15484,21299,27902,11544,16301,1,23563,70430,928,,6254,49264,41465,7786,13,24524,1988,3420,849,9809,0,5112,3346,0,7826,6997,0,829,0,0,50,,,,
